sha256_hashed_ip,event_timestamp_utc,category,subcategory,event_json,digital_remedy_channel,digital_remedy_customer_ntf_status,Digital Remedy Customer Ltv
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:09:29 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603604""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 11:10:18 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603605""}",Facebook,yes,281.11
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:12:26 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603606""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 11:20:03 UTC,checkout,,"{""amount"":""19"",""account_id"":""7603607""}",Facebook,yes,19.11
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:29:00 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603612""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 11:31:18 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603613""}",Facebook,yes,1197.5
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:31:58 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603614""}",Facebook,no,36.72
3464dad270324a8f8b1f3f9f349adcc3979cae39555d784d789e2fb8933d496d,2022-11-13 11:32:32 UTC,checkout,,"{""amount"":""130"",""account_id"":""500280"")",Google,no,1566.1
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:33:38 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603615""}",Facebook,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 11:38:27 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603616""}",Facebook,no,83.95
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:43:02 UTC,checkout,,"{""amount"":""93"",""account_id"":""7603617""}",Google,no,1631.25
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:43:39 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603618""}",Pablo,yes,245.01
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:47:35 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603619""}",Google,yes,36.72
a10d8e8680f313d0f23a58bbf085cadd501ef1ec48f6c47cbb630bf35a2428ba,2022-11-13 11:47:38 UTC,checkout,,"{""amount"":""52"",""account_id"":""500281"")",Google,yes,105.19
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:49:28 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603620""}",Google,no,452.75
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:52:46 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603621""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 11:54:35 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603622""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 11:55:00 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603623""}",Facebook,no,103.82
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:03:59 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603624""}",Untracked,yes,1393.21
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:07:25 UTC,checkout,,"{""amount"":""29"",""account_id"":""7603625""}",Facebook,no,77.29
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:07:51 UTC,checkout,,"{""amount"":""59"",""account_id"":""7603626""}",Pablo,yes,245.01
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:10:05 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603627""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:10:12 UTC,checkout,,"{""amount"":""1472"",""account_id"":""7603628""}",Facebook,yes,1471.69
3c0010b0bf5a2a71664c161f1a236aa1c6076bf7f29b9c1d477ae3f001e5dba4,2022-11-13 12:11:30 UTC,checkout,,"{""amount"":""75"",""account_id"":""500282"")",Other,no,3668.35
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:12:41 UTC,checkout,,"{""amount"":""1077"",""account_id"":""7603631""}",Untracked,yes,1393.21
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:14:19 UTC,checkout,,"{""amount"":""47"",""account_id"":""7603633""}",Facebook,no,83.58
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:18:32 UTC,checkout,,"{""amount"":""19"",""account_id"":""7603634""}",Facebook,yes,19.11
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:22:47 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603636""}",Other,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:23:00 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603637""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:26:44 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603638""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:28:57 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603639""}",Pablo,yes,73.44
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:29:30 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603640""}",Facebook,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:31:28 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603642""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:31:32 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603643""}",Facebook,yes,109.91
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:33:32 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603644""}",Google,no,635.03
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:34:57 UTC,checkout,,"{""amount"":""43"",""account_id"":""7603649""}",Facebook,yes,42.64
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:35:34 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603650""}",Facebook,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:38:54 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603651""}",Bing,yes,315.96
d8b01396c0912b985af4b9d44d8561eaef42f5604ca5e89d09a0462abebffc13,2022-11-13 12:39:51 UTC,checkout,,"{""amount"":""98"",""account_id"":""500283"")",Other,no,361.35
3040a94559b229c7c13709ce34c1d49e07d6126518fe9c2176b911b04d33d3cf,2022-11-13 12:40:00 UTC,checkout,,"{""amount"":""106"",""account_id"":""500284"")",Google,no,1753.99
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:40:12 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603652""}",Facebook,yes,315.96
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:40:13 UTC,checkout,,"{""amount"":""1171"",""account_id"":""7603653""}",Pablo,yes,1819
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:40:42 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603654""}",Pablo,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:42:52 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603655""}",Facebook,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:43:07 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603656""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:43:29 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603657""}",Facebook,yes,1642.29
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 12:44:22 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603658""}",Facebook,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 12:46:01 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603659""}",Facebook,yes,36.72
